manufacturer,model,slug,part_number,u_height,is_full_depth,subdevice_role,comments
Cisco,WS-C3560E-12D,ws-c3560e-12d,,1,,,
Cisco,WS-C3560G-48TS,ws-c3560g-48ts,,1,,,
Cisco,WS-C4900M,ws-c4900m,,2,,,"hw-module module m port-group p 
select [gigabitethernet | tengigabitethernet]"
Dell,PowerEdge R610,poweredge-r610,,1,True,,
HP,ProLiant DL360 G7,proliant-dl360-g7,,1,True,,
Netonix,WS12-250-AC,ws12-250-ac,,1,,,
PCEngines,APU2c4,apu2c4,,1,,,
PCEngines,APU2c4-19",apu2c4-19,,1,,,
Raspberry Pi Foundation,Raspberry Pi 3,raspberry-pi-3,,1,,,
RIPE,Atlas Probe 3,atlas-probe-3,,1,,,
SuperMicro,X10DRL-i,x10drl-i,,1,True,,
Telegärtner,Patchpanel,patchpanel,,1,,,
TP-Link,SG-3216,sg-3216,,1,,,
TP-Link,T1700X-16TS,t1700x-16ts,,1,,,
Ubnt,AirFiber-X AF-5X,airfiber-x-af-5x,,1,,,
Ubnt,ER-X,er-x,,1,,,
Ubnt,ER-X-SFP,er-x-sfp,,1,,,
Ubnt,LBE-5AC-16-120,lbe-5ac-16-120,,1,,,
Ubnt,NBE-5AC-19,nbe-5ac-19,,1,,,
Ubnt,PBE-5AC-300,pbe-5ac-300,,1,,,
Ubnt,PBE-5AC-500,pbe-5ac-500,,1,,,
Ubnt,PBE-5AC-Gen2,pbe-5ac-gen2,,1,,,
Ubnt,Surge Protector,surge-protector,,1,,,
